title,description,starter_code,solution_code,expected_output,category,difficulty,problem_type,resources_link,csta_standard
"Class Practice 1: Hello + World","Use the + operator to concatenate 'Hello' and 'World' and print the result.","","print('Hello' + 'World')","HelloWorld","Lesson 2.2 - String Concatenation","Easy","Class Practice","https://drive.google.com/your-lesson-materials","3A-AP-16"
"Class Practice 2: First + Last Name","Concatenate your first and last name with a space between them.","","print('John' + ' ' + 'Doe')","John Doe","Lesson 2.2 - String Concatenation","Easy","Class Practice","","3A-AP-16"
"Class Practice 3: Three Strings","Print three strings concatenated: 'I', 'love', 'Python'","","print('I' + 'love' + 'Python')","IlovePython","Lesson 2.2 - String Concatenation","Easy","Class Practice","","3A-AP-16"
"Class Practice 4: Numbers as Strings","Concatenate '100' + '200' and explain why the output is not 300.","","print('100' + '200')","100200","Lesson 2.2 - String Concatenation","Easy","Class Practice","","3A-AP-16"
"Class Practice 5: Empty Strings","Concatenate 'Hello' with an empty string ''.","","print('Hello' + '')","Hello","Lesson 2.2 - String Concatenation","Easy","Class Practice","","3A-AP-16"
"Paired Programming 1: Full Sentence","Create a sentence by concatenating 'Python', 'is', and 'fun'.","","print('Python' + ' ' + 'is' + ' ' + 'fun')","Python is fun","Lesson 2.2 - String Concatenation","Easy","Paired Programming","","3A-AP-16"
"Paired Programming 2: Address Line","Concatenate street number + street name + city.","","print('123' + ' ' + 'Main St' + ' ' + 'Boston')","123 Main St Boston","Lesson 2.2 - String Concatenation","Medium","Paired Programming","","3A-AP-16"
"Paired Programming 3: Greeting","Create a greeting: 'Hello, ' + name + '!'","","name = 'Alice'\nprint('Hello, ' + name + '!')","Hello, Alice!","Lesson 2.2 - String Concatenation","Medium","Paired Programming","","3A-AP-16"
"Paired Programming 4: Multiple Spaces","Concatenate words with multiple spaces between them.","","print('One' + '   ' + 'Two')","One   Two","Lesson 2.2 - String Concatenation","Medium","Paired Programming","","3A-AP-16"
"Paired Programming 5: Long Sentence","Concatenate 5+ words into a complete sentence.","","print('The' + ' ' + 'quick' + ' ' + 'brown' + ' ' + 'fox' + ' ' + 'jumps')","The quick brown fox jumps","Lesson 2.2 - String Concatenation","Medium","Paired Programming","","3A-AP-16"
"Independent Practice 1: Your Info","Create a string with your name, age, and city.","# Start here\n","name = 'Bob'\nage = '14'\ncity = 'NYC'\nprint(name + ' is ' + age + ' from ' + city)","Bob is 14 from NYC","Lesson 2.2 - String Concatenation","Medium","Independent Practice","","3A-AP-16"
"Independent Practice 2: Math Problem","Concatenate to show: '5 + 3 = 8' as a string.","","print('5' + ' + ' + '3' + ' = ' + '8')","5 + 3 = 8","Lesson 2.2 - String Concatenation","Medium","Independent Practice","","3A-AP-16"
"Independent Practice 3: Email Address","Build an email: username + '@' + domain + '.com'","","user = 'john'\nprint(user + '@' + 'example' + '.com')","john@example.com","Lesson 2.2 - String Concatenation","Medium","Independent Practice","","3A-AP-16"
"Independent Practice 4: Repeat Words","Concatenate a word with itself 3 times.","","word = 'Ha'\nprint(word + word + word)","HaHaHa","Lesson 2.2 - String Concatenation","Medium","Independent Practice","","3A-AP-16"
"Independent Practice 5: Format Date","Concatenate month + '/' + day + '/' + year.","","month = '12'\nday = '25'\nyear = '2024'\nprint(month + '/' + day + '/' + year)","12/25/2024","Lesson 2.2 - String Concatenation","Medium","Independent Practice","","3A-AP-16"
"Debug 1: Missing Space","Fix: print('Hello'+'World') - should have space between.","print('Hello'+'World')","print('Hello' + ' ' + 'World')","Hello World","Lesson 2.2 - String Concatenation","Easy","Debugging","","3A-AP-16"
"Debug 2: Missing Quote","Fix: print('Hello + World) - missing closing quote.","print('Hello + World)","print('Hello' + ' ' + 'World')","Hello World","Lesson 2.2 - String Concatenation","Easy","Debugging","","3A-AP-16"
"Debug 3: Wrong Operator","Fix: print('Hello' * 'World') - should use + not *.","print('Hello' * 'World')","print('Hello' + 'World')","HelloWorld","Lesson 2.2 - String Concatenation","Easy","Debugging","","3A-AP-16"
"Debug 4: Missing Plus","Fix: print('Hello' 'World') - missing + operator.","print('Hello' 'World')","print('Hello' + 'World')","HelloWorld","Lesson 2.2 - String Concatenation","Easy","Debugging","","3A-AP-16"
"Debug 5: Type Error","Fix: print('Age: ' + 15) - can't concatenate string and number.","print('Age: ' + 15)","print('Age: ' + '15')","Age: 15","Lesson 2.2 - String Concatenation","Medium","Debugging","","3A-AP-16"
"Debug 6: Extra Parenthesis","Fix: print('Hello' + 'World'))  - extra closing parenthesis.","print('Hello' + 'World'))","print('Hello' + 'World')","HelloWorld","Lesson 2.2 - String Concatenation","Easy","Debugging","","3A-AP-16"
"Debug 7: Wrong Variable","Fix: print(frst + last) - variable name typo 'frst'.","frst = 'John'\nlast = 'Doe'\nprint(frst + last)","first = 'John'\nlast = 'Doe'\nprint(first + last)","JohnDoe","Lesson 2.2 - String Concatenation","Medium","Debugging","","3A-AP-16"
"Debug 8: Missing Quotes","Fix: print(Hello + World) - missing quotes around strings.","print(Hello + World)","print('Hello' + 'World')","HelloWorld","Lesson 2.2 - String Concatenation","Easy","Debugging","","3A-AP-16"
"Debug 9: Comma Instead of Plus","Fix: print('Hello', + 'World') - weird comma usage.","print('Hello', + 'World')","print('Hello' + 'World')","HelloWorld","Lesson 2.2 - String Concatenation","Medium","Debugging","","3A-AP-16"
"Debug 10: Concat with Number","Fix: trying to concatenate string with integer variable.","age = 15\nprint('I am ' + age)","age = 15\nprint('I am ' + str(age))","I am 15","Lesson 2.2 - String Concatenation","Hard","Debugging","","3A-AP-16"
